trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999}",25,0,-66.30416233592726,"{0: 16, 1: 7, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.999795}",20,0,-48.34255230153233,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.99968475}",30,15,-83.76234890177568,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9995689875}",30,0,-96.26125685642164,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.999447436875}",25,0,-109.67008373218502,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.99931980871875}",20,0,-103.97692087492496,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9991857991546875}",20,15,7.75045783330388,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9990450891124218}",20,0,-127.50975533830244,"{0: 8, 1: 4, 2: 4, 3: 4, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9988973435680429}",20,2,-78.07657087377297,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9987422107464451}",25,0,-47.34617061799557,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9985793212837674}",25,0,-65.25330116184783,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9984082873479557}",25,0,-119.44235024289797,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9982287017153535}",20,0,-66.15420265891609,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9980401368011211}",20,0,-126.25536044574308,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9978421436411772}",25,7,-49.55191346122855,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9976342508232361}",25,0,-60.50732018959175,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9974159633643979}",25,0,-166.88327979675717,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9971867615326178}",20,0,-56.27850717339122,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9969460996092486}",20,0,-47.17262350057085,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.996693404589711}",20,0,-190.39181921963703,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9964280748191966}",25,0,-114.30368392188635,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9961494785601565}",20,0,-82.18721866954884,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9958569524881643}",25,0,-195.5812133871991,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9955498001125725}",25,0,-85.3657235918718,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9952272901182012}",25,0,-65.2248519828448,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9948886546241112}",20,0,-237.86278376845843,"{0: 8, 1: 1, 2: 4, 3: 4, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9945330873553168}",30,0,-128.5577911729574,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9941597417230826}",20,0,-63.8577757896868,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9937677288092368}",30,0,-174.80073371599562,"{0: 16, 1: 2, 2: 8, 3: 3, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9933561152496987}",30,10,-84.19940443147085,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.9929239210121836}",20,0,-91.98466451835932,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9924701170627928}",25,0,-78.980087157126,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9919936229159324}",30,0,-127.40873384185458,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.991493304061729}",30,0,-179.4445223746683,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9909679692648155}",25,0,-189.97207012915396,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9904163677280562}",20,0,-93.63322188886053,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.989837186114459}",35,0,-307.994433385525,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 5}",0
38,False,"{'a': 0.5, 'e': 0.989229045420182}",25,0,-81.97406918988044,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9885904976911911}",25,0,-78.58759502063903,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9879200225757506}",25,0,-80.44671293146934,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9872160237045382}",30,0,-215.05535289114303,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.9864768248897651}",30,0,-116.83362722738256,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9857006661342533}",30,0,-175.00567929285097,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.984885699440966}",25,0,-91.57910409698695,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9840299844130144}",25,0,-52.74763287036672,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9831314836336651}",20,0,-57.45771901136181,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9821880578153483}",20,0,-73.738586256587,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9811974607061158}",20,0,-69.40271229323784,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9801573337414216}",35,0,-195.877735878006,"{0: 21, 1: 5, 2: 5, 3: 1, 4: 3}",0
