trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-139.30675324284718,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-113.2766197562791,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-120.87845706640046,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-152.33603485528002,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-214.33768709407542,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-163.4976773276361,"{0: 20, 1: 6, 2: 5, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-128.43834472826168,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-173.43933694807504,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-106.9322500685052,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,4,-114.18051330202556,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-67.65887281459095,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-295.4886344558403,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-99.02076171691292,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,13,-32.51036107473393,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-133.9033341899263,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-232.9079534291584,"{0: 11, 1: 0, 2: 10, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-138.81344022907416,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,2,-120.39282311607681,"{0: 12, 1: 0, 2: 8, 3: 3, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-139.49847132007505,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-203.3871120817986,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 5}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-83.30180959117845,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-149.18050759611654,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-157.71206206895494,"{0: 18, 1: 6, 2: 3, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-166.72152693753958,"{0: 15, 1: 5, 2: 6, 3: 3, 4: 1}",0
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-87.46648860443132,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-42.60321056637606,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-135.44266528203087,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-188.63549792808027,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-220.81144209271065,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-50.62974736070107,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
